,dates,discount_factors,zero_rates
0,2023-02-03,0.9999471139081978,0.01930393396711686
1,2023-02-09,0.9996316634995467,0.019209655549511144
2,2023-03-02,0.9983096399330069,0.02205369547202358
3,2023-04-03,0.9958307884324297,0.02541572235685483
4,2023-06-15,0.9898785658946889,0.02791839468137376
5,2023-09-21,0.9807834083944981,0.030659415910983333
6,2023-12-20,0.9722871871976806,0.03195632772508536
7,2024-02-02,0.9683013102324087,0.032211969239047705
8,2024-03-20,0.9639960844852098,0.03248504085623474
9,2024-06-20,0.9560736861156223,0.03253156022143407
10,2024-09-19,0.9487765061893653,0.03225619263406439
11,2024-12-18,0.9420038484862105,0.03183541667866137
12,2025-02-03,0.9388930089384268,0.03144073487949137
13,2026-02-02,0.9146375478889505,0.029715334278290227
14,2027-02-02,0.8916371512380026,0.0286543762857048
15,2028-02-02,0.8687852205507738,0.028116461976214452
16,2029-02-02,0.8462756956519532,0.027792966808224268
17,2030-02-04,0.8237244134634091,0.027659448207590084
18,2031-02-03,0.8011664579232903,0.027682376810097196
19,2032-02-02,0.7783154541746456,0.02783009724548635
20,2033-02-02,0.7552214677497726,0.028051367879138544
21,2034-02-02,0.7326005438532559,0.028265669609557148
22,2035-02-02,0.7107291531742368,0.0284358450291848
23,2036-02-04,0.6897459438089197,0.02854161273647056
24,2037-02-02,0.6702144943508215,0.028560320513949338
25,2038-02-02,0.6520279042389545,0.028490379781247546
26,2039-02-02,0.6354758808577488,0.02831692622566217
27,2040-02-02,0.620501970626991,0.028054062158587776
28,2041-02-04,0.6068927364699996,0.027715094006090128
29,2042-02-03,0.5946148408480006,0.027336423341335635
30,2043-02-02,0.5833318146830947,0.026931508967805207
31,2044-02-02,0.572791018541012,0.026517670838815944
32,2045-02-02,0.5629399800108342,0.02609787535436395
33,2046-02-02,0.553681733103127,0.025684479811885142
34,2047-02-04,0.5449131155330821,0.025273957013551302
35,2048-02-03,0.5366788842703872,0.024875131475747256
36,2049-02-02,0.5288496750913189,0.024483903894435055
37,2050-02-02,0.5213242917826428,0.024108171900781492
38,2051-02-02,0.5140967894521006,0.023746011498824552
39,2052-02-02,0.5071234793698498,0.02339834553784053
40,2053-02-03,0.5003571554355388,0.023062148965318035
41,2054-02-02,0.49378540386223024,0.022746957995152854
42,2055-02-02,0.487352121040441,0.02244613768362673
43,2056-02-02,0.4810674694868984,0.02215945644827198
44,2057-02-02,0.47493875185247203,0.02188323059476716
45,2058-02-04,0.4689016544217506,0.021620304393470652
46,2059-02-03,0.4630510448405889,0.02137034705490371
47,2060-02-02,0.45733631507050565,0.02113014114522378
48,2061-02-02,0.45175635274100634,0.020895784206722525
49,2062-02-02,0.4463054436841146,0.020671419738185707
50,2063-02-02,0.4410016776371058,0.020453655631246764
51,2064-02-04,0.43582357044837045,0.02024030092468259
52,2065-02-02,0.4308759446067158,0.02003169920962157
53,2066-02-02,0.4260594634340003,0.019827414381685695
54,2067-02-02,0.42142562555937063,0.019625466284489686
55,2068-02-02,0.41698665798753276,0.019424792182955637
56,2069-02-04,0.4127453735055097,0.019221459646298917
57,2070-02-03,0.40874979064100503,0.019020736554746252
58,2071-02-02,0.404991721994698,0.01881812444874341
59,2072-02-02,0.4014784105912092,0.01861203298906289
60,2073-02-02,0.3982522449122426,0.01840028681169347
